0.0	0.0
0.000198  -0.001417
0.000572  -0.002054
0.000946  -0.002691
0.002165  -0.003992
0.003667  -0.005223
0.013639  -0.010342
0.029183  -0.015169
0.049938  -0.019578
0.075768  -0.023565
0.106324  -0.027219
0.141288  -0.030720
0.179884  -0.034729
0.220074  -0.038653
0.261526  -0.040769
0.304974  -0.040625
0.350096  -0.038079
0.397636  -0.032821
0.447637  -0.025646
0.500087  -0.017114
0.554624  -0.008267
0.610364   0.000049
0.666289   0.007219
0.721305   0.012793
0.774276   0.016474
0.824060   0.018113
0.869551   0.017689
0.909558   0.015218
0.942700   0.011278
0.968241   0.006966
0.986101   0.003275
0.996568   0.000850
1.000000   0.00000
