1.000000   0.000000
0.996640   0.000985
0.987056   0.004265
0.972314   0.009834
0.953332   0.017037
0.930531   0.024949
0.903794   0.032768
0.872736   0.040403
0.837646   0.048100
0.799007   0.055842
0.757330   0.063544
0.713160   0.071084
0.667064   0.078312
0.619624   0.085056
0.571426   0.091118
0.523051   0.096277
0.475063   0.100280
0.428007   0.102811
0.382245   0.103258
0.337323   0.101581
0.293568   0.098300
0.251455   0.093644
0.211424   0.087785
0.173909   0.080881
0.139301   0.073078
0.107962   0.064532
0.080220   0.055386
0.056312   0.045810
0.036491   0.035989
0.020843   0.026134
0.009548   0.016553
0.002548   0.007584
0.000169   0.001654
0.000001   0.000102
0.0	0.0
